PMAID,LocID,Name,Address,ZIP Code,X Coord,Y Coord
3977,0,Eastlake Triangle,10th Ave E & E Prospect St,98109,-122.328918,47.62841
4012,1308,Eastmont Place,2201 Westmont Way W,98199,-122.405566,47.637689
1000003,0,Eddie Vine Boat Ramp,8001 Seaview Ave NW,98117,-122.403454,47.686852
318,1311,Ella Bailey Park,2601 W Smith St,98199,-122.39106,47.640584
3920,1086,Emma Schmitz Memorial Overlook,4503 Beach Dr SW,98116,-122.40712,47.562898
1653,1314,Endolyne Park,9827 49th Ave SW,98116,-122.39438,47.514542
4454,1316,Ercolini Park,4542 48th Ave SW,98116,-122.394275,47.515021
452,1127,Fairmount Playfield,5400 Fauntleroy Way SW,98136,-122.380549,47.554041
2975,1323,Fairview Park,2900 Fairview Ave E,98102,-122.325368,47.647413
4155,1461,Fairview Walkway,1251 Fairview Ave. N,98109,-122.328967,47.630501
3149,1324,Fauntleroy Creek Ravine,9102 Fauntleroy Way SW,98136,-122.392498,47.522599
453,1325,Fauntleroy Park,3951 SW Barton St,98136,-122.383222,47.5192
3921,1326,Fauntleroy Place,4501 Fauntleroy Way SW,98126,-122.379834,47.562715
413,2498,Ferdinand Street Boat Ramp,5018 Lake Washington Blvd S,98118,-122.264912,47.561358
351,1331,Firehouse Mini Park,712 18th Ave,98122,-122.308558,47.608448
3910,1332,First Hill Park,1201 University St,98101,-122.325512,47.611906
3948,1333,Fletcher Place,9285 Waters Ave S,98118,-122.261484,47.519093
363,1334,Flo Ware Park,2800 S Jackson St,98144,-122.295868,47.599557
312,2390,Freeway Park - Jim Ellis Freeway Park,700 Seneca St,98101,-122.330904,47.609472
4011,1341,Fremont Canal Park,199 N Canal St,98103,-122.357864,47.651802
4424,1343,Fremont Peak Park,4357 Palatine Ave N,98103,-122.356671,47.661108
392,1345,Frink Park,398 Lake Washington Blvd S,98144,-122.290256,47.599506
287,1128,Froula Playground,7200 12th Ave NE,98115,-122.313978,47.680538
353,1130,Garfield Playfield,537 25th Ave,98122,-122.301412,47.607098
293,1349,Gas Works Park,2101 N Northlake Way,98103,-122.334906,47.645639
409,1786,Genesee Park and Playfield,4316 S Genesee St,98118,-122.278744,47.564856
410,2094,Georgetown Playfield,750 S Homer St,98108,-122.321396,47.55162
3759,1359,Gerber Park,575 M L King Jr Way S,98122,-122.296568,47.607709
242,1134,Gilman Playground,923 NW 54th St,98107,-122.369684,47.667292
243,1361,Golden Gardens Park,8498 Seaview Pl NW,98117,-122.403454,47.686852
354,1346,Grand Army of the Republic Cemetery,1200 E Howe St,98102,-122.316261,47.636461
307,1366,Green Lake Park,7201 E Greenlake Dr N,98115,-122.330394,47.678938
4408,1369,Greenwood Park,602 N 87th St,98117,-122.350647,47.693048
245,1371,Greenwood Triangle,304 NW 55th St,98107,-122.361032,47.668902
4157,1372,Greg Davis Park,2600 SW Brandon St,98106,-122.366001,47.55437
454,1375,Hamilton Viewpoint Park,1120 California Ave SW,98116,-122.38907,47.590748
355,0,Harborview Park,779 Alder St,98104,-122.323693,47.603014
356,1377,Harrison Ridge Greenbelt,138 32nd Ave E,98112,-122.290339,47.619711
3695,1378,Harvard-Miller/Roanoke Annex,2351 Broadway E,98102,-122.321643,47.641091
4412,1381,Herring's House Park (T'ul'altx),4570 West Marginal Way SW,98106,-122.349545,47.561514
456,1788,Hiawatha Playfield,2700 California Ave SW,98116,-122.384965,47.578272
